TransactionID,Item
T001,Milk
T001,Bread
T001,Butter
T002,Milk
T002,Bread
T002,Eggs
T003,Bread
T003,Butter
T003,Jam
T004,Milk
T004,Eggs
T004,Cereal
T005,Bread
T005,Milk
T005,Butter
T005,Eggs
T006,Coffee
T006,Sugar
T006,Milk
T007,Bread
T007,Jam
T007,Butter
T008,Milk
T008,Bread
T008,Eggs
T008,Butter
T009,Coffee
T009,Milk
T009,Sugar
T010,Bread
T010,Butter
T010,Cheese
T011,Milk
T011,Bread
T011,Cheese
T012,Eggs
T012,Bread
T012,Butter
T013,Milk
T013,Cereal
T013,Eggs
T014,Bread
T014,Jam
T014,Milk
T015,Coffee
T015,Sugar
T015,Biscuits
T016,Milk
T016,Bread
T016,Butter
T016,Jam
T017,Eggs
T017,Milk
T017,Bread
T018,Coffee
T018,Milk
T018,Biscuits
T019,Bread
T019,Butter
T019,Cheese
T020,Milk
T020,Bread
T020,Eggs
T020,Butter
T021,Milk
T021,Cereal
T021,Sugar
T022,Bread
T022,Jam
T022,Butter
T023,Milk
T023,Bread
T023,Cheese
T023,Butter
T024,Coffee
T024,Sugar
T024,Milk
T025,Eggs
T025,Bread
T025,Milk
T025,Butter
